CHARACTER_ID,RACE,BACKGROUND,PRIMARY_CLASS,SUBCLASS,CHAR_LEVEL,FEATS,HITPOINTS,ARMOUR_CLASS,STRENGTH,DEXTERITY,CONSTITUTION,INTELLIGENCE,WISDOM,CHARISMA,ALIGNMENT,SKILLS,WEAPONS,SPELLS
ff10fc,Fallen Aasimar,Custom,Druid,Circle of Dreams,6,,45,16,10,14,14,10,16,12,NG,Stealth|Nature|Religion|Perception,Shillelagh,Shillelagh*0|Produce Flame*0|Frost Bite*0|Light*0|Cure Wounds*1|Speak With Animals*1|Faerie Fire*1|Pass Without Trace*2|Moonbeam*2|Invisibility*2|Daylight*3|Erupting Earth*3|Conjure Animals*3
983fbd,Half-Orc,Knight,Fighter,Champion,6,,75,18,18,10,18,10,14,20,,Athletics|Religion|Perception|Intimidation|Persuasion,Battleaxe|Handaxe,
0f2727,Minotaur,Acolyte,Monk,Way of the Kensei,6,,46,15,9,15,13,12,16,12,,Acrobatics|History|Religion|Insight,Shortsword|Dart|Unarmed strike|Katana|Sword Staff,
7260a1,Eladrin,Guild Artisan,Artificer,Gunsmith,6,Linguist,47,16,9,17,12,17,10,10,,Sleight of Hand|Arcana|Investigation|Insight|Perception|Persuasion,"Handaxe|Crossbow, light|Thunder Cannon",Mending*0|Identify (Ritual)*1|Detect Magic (Ritual)*1|Cure Wounds *1|Disguise self *1|Shield Of Faith *1|False life *1
4b7a36,Human,Outlander,Barbarian,Path of the Battlerager,6,,65,15,18,14,17,9,13,12,CG,Athletics|Perception|Survival|Intimidation,Greatsword|Handaxe|Javelin,
955d0b,Human,Faction Agent,Fighter,Eldritch Knight,5,Sentinel,39,19,18,10,12,16,10,9,,Athletics|Arcana|Nature|Insight|Survival,Longsword|Handaxe,Lightning Lure*0|Booming Bade*0|Shield*1|Absorb Elements*1|Snare*1
70fcef,Human,Faction Agent,Sorcerer,Wild Magic,5,Lucky,32,12,10,14,14,10,10,18,,Arcana|History|Insight|Deception|Persuasion,Quarterstaff|Dagger,
ebc99d,Human,Faction Agent,Fighter,Eldritch Knight,5,Sentinel,39,19,18,10,12,16,10,9,,Athletics|Arcana|Nature|Insight|Survival,Longsword|Handaxe,
105cd5,Human,Faction Agent,Rogue,Arcane Trickster,5,,38,15,10,18,14,16,11,10,,Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Survival,Rapier|Shortbow|Dagger,
f69f29,Human,Faction Agent,Cleric,Arcana Domain,5,Magic Initiate,28,16,9,16,10,10,18,12,,Arcana|History|Religion|Insight|Medicine|Persuasion,"Mace|Crossbow, light",Detect Magic*1|Magic Missile*1|Magic Weapon*2|Arcanist's Magic Aura*2|Dispel Magic*3|Magic Circle*3
300b28,Human,Knight,Paladin,Oath of Devotion,5,Shield Master|Resilient,50,23,18,14,18,14,16,16,,Athletics|Arcana|Religion|Perception|Persuasion,Longsword|Flail,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2
b7ec79,Serpentblood,Folk Hero,Bard,College of Whispers,5,,50,13,10,14,14,10,9,19,,Stealth|Animal Handling|Survival|Deception|Persuasion,Rapier|Dagger,
054df0,Aarakocra,Far Traveler,Wizard,School of Evocation,5,,32,13,10,16,15,18,14,12,CN,Arcana|Investigation|Insight|Perception,Dagger|Unarmed strike (Claws),
a81320,Human,Knight,Fighter,Eldritch Knight,5,Lucky,60,18,16,11,14,16,10,10,,Athletics|History|Perception|Persuasion,Longsword,
359ab3,Goliath,Haunted One,Barbarian,Path of the Zealot,5,,50,14,19,14,14,12,10,8,,Athletics|Nature|Religion|Perception|Survival,Greataxe|Handaxe|Javelin,
221034,Half-Elf,Courtesan,Bard,College of Lore,5,War Caster,44,20,10,12,14,12,14,16,Chaotic Neutral,Acrobatics|Sleight of Hand|Stealth|History|Investigation|Medicine|Perception|Deception|Performance|Persuasion,Whip|Longbow|Longsword,Prestidigitation*0|True Strike*0|Viscious Mockery*0|Dissonant Whispers*1|Faerie Fire*1|Healing Word*1|Tasha's Hideous Laughter*1|Hold Person*2|Invisibility *2|Silence*2|Enemies Abound*3
3dc6a8,Half-Elf,Noble,Wizard,School of Divination,5,Lucky,32,12,8,14,14,18,10,14,,Arcana|History|Investigation|Perception|Deception|Persuasion,Dagger,Prestidigitation*0|Minor Illusion*0|Mending*0|Firebolt*0|Mage Armor*1|Detect Magic (rituel)*1|Disguise Self*1|Familiar (rituel)*1|Shield*1|Identify (rituel)*1|Unsean Servent (Ritual)*1|Grease*1|Misty Step*2|Suggestion*2|Invisibility*2|Hold Person*2|Web*2|Counterspell*3|Dispel Magic*3|Haste*3
5a42e7,Human,Charlatan,Rogue,Assassin,5,Alert,45,15,8,18,14,12,14,10,,Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception,"Shortsword|Shortsword|Dagger|Crossbow, light",
8080ea,Fire Genasi,Caravan Specialist,Wizard,School of Evocation,5,Magic Initiate,32,11,10,13,14,16,14,8,Chaotic Neutral,Arcana|Investigation|Animal Handling|Survival,Dagger,Control Flames*0|Fire Bolt*0|Frostbite*0|Mending*0|Mold Earth*0|Poison Spray*0|Produce Flame*0|Alarm[R]*1|Burning Hands*1|Detect Magic[R]*1|Identify[R]*1|Magic Missile*1|Thunderwave*1|Tenser's Floating Disk[R]*1|Witchbolt*1|Mage Armor (MI)*1|Arcane Lock*2|Gust Of Wind*2|Scorching Ray*2|Shatter*2|Fireball*3|Leomund's Tiny Hut[R]*3
33ef30,Human,Acolyte,Cleric,War Domain,5,War Caster,38,17,14,9,16,11,15,13,NG,Religion|Insight|Perception|Persuasion,Mace|Dagger,Guidance*0|Light*0|Sacred Flame*0|Thaumaturgy*0|Divine Favor*1|Shield of Faith*1|Cure Wounds*1|Guiding Bolt*1|Healing Word*1|Command*1|Magic Weapon*2|Spiritual Weapon*2|Prayer Of Healing*2|Augury*2|Crusader's Mantle*3|Spirit Guardian*3|Create Food And Water*3
c9d2a7,Aarakocra,Soldier,Ranger,Hunter Conclave,5,,44,15,10,18,15,12,14,8,,Athletics|Insight|Perception|Survival|Intimidation,Shortsword|Longbow,
b91d54,Hill Dwarf,Folk Hero,Cleric,Tempest Domain,5,War Caster,52,18,14,10,16,10,14,12,LG,Religion|Animal Handling|Medicine|Survival,"Warhammer|Crossbow, light",Fog Cloud*1|Thunderwave*1|Cure Wounds*1|Healing Word*1|Protection From Evil *1|Detect Magic (R)*1|Gust of Wind*2|Shatter*2|Hold Person *2|Spiritual Weapon*2|Call Lightning*3|Sleet Storm*3|Dispel Magic*3|Mass Healing Word*3
15435d,Human,Folk Hero,Barbarian,Path of the Berserker,5,,70,13,17,12,14,10,14,14,Chaotic Good,Athletics|Animal Handling|Survival|Intimidation,Greataxe|Handaxe|Javelin,
e1dc20,Half-Elf,Charlatan,Rogue,Mastermind,5,Observant,40,14,8,16,10,16,13,13,Neutral Neutral,Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Persuasion,Shortsword|Shortbow|Dagger,
9de8a6,Human,Sailor,Fighter,Champion,5,,65,16,9,17,17,10,13,13,,Athletics|Acrobatics|Perception|Intimidation,"Scimitar|Scimitar|Crossbow, light",
1e0f63,Half-Elf,Soldier,Ranger,Hunter,5,,44,16,8,18,14,10,16,7,LN,Athletics|Stealth|Investigation|Insight|Perception|Survival|Intimidation,Shortsword|Longbow,Hunter's Mark*1|Spike Growth*1|Cure Wounds*1|Hail Of Thorns*2
89ad06,Dragonborn,Mercenary Veteran,Paladin,Oath of Devotion,5,,60,18,18,12,14,10,10,14,,Athletics|Insight|Medicine|Persuasion,Longsword,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2
df744e,Human,Criminal,Cleric,War Domain,5,,48,18,17,16,14,12,18,11,Chaotic Good,Stealth|History|Religion|Deception,Mace|Javelin|Warhammer,Light*0|Guidance*0|Resistance*0|Sacred Flame*0|Divine Favor*1|Shield of Faith*1|Cure Wound*1|Command*1|Bless*1|Protection From Evil*1|Magic Weapon*2|Spiritual Weapon*2|Aid*2|Hold Person*2|Lesser Restoration *2|Prayer Of Healing*2|Crusader's Mantle*3|Spirit Guardian*3|Tongue*3
ac7f5a,Wood Elf,Outlander,Rogue,Assassin,5,,28,14,10,17,10,13,14,14,,Athletics|Sleight of Hand|Stealth|Animal Handling|Perception|Survival|Deception,Rapier|Shortbow|Dagger,
6cd2cc,Half-Orc,Mercenary Veteran,Barbarian,Path of the Totem Warrior,5,,50,14,18,12,17,8,12,9,,Athletics|Perception|Survival|Intimidation|Persuasion,Maul|Handaxe|Javelin,
73696e,Dragonborn,Soldier,Barbarian,Path of the Berserker,5,,60,14,20,14,15,8,14,14,,Athletics|Perception|Survival|Intimidation,Greataxe|Greatsword|Spear,
ceb9fb,Dark Elf,Entertainer,Bard,College of Swords,5,Crossbow Expert,40,14,10,17,11,10,10,16,,Athletics|Acrobatics|Medicine|Perception|Intimidation|Performance,"Crossbow, Light|Dagger",Blade Ward*0|Vicious Mockery*0|Minor Illusion*0|Healing Word*1|Heroisim*1|Sleep*1|Cloud Of Daggers*2|Blindness/Deafness*2|Enemies Abound*3
d5f08c,Human,Sailor,Monk,Way of the Open Hand,5,Lucky,44,15,13,18,15,10,12,8,,Athletics|Acrobatics|Insight|Perception,Quarterstaff|Dart|Unarmed strike,
d67d98,Half-Elf,Soldier,Warlock,The Celestial,5,,38,16,8,16,14,12,10,18,,Athletics|Arcana|Religion|Medicine|Intimidation|Performance,Mace|Eldritch Blast|Dagger,Light*0|Sacred Flame 2d8 A*0|Eldritch Blast (1d10+4)x2 A*0|Chill Touch 2d8 A*0|Blade Ward R. Wpn A*0|Healing Light d6 BA*0|Vicious Mockery 2d4*0|Message*0|Guidance +D4 A*0|Protection From Evil And Good*1|Hex*1|Flaming Sphere*2|Lesser Restoration*2|Revivify*3|Counterspell*3
f34747,Water Genasi,Sailor,Ranger,Beast Master,5,,37,16,8,17,17,8,16,8,,Athletics|Stealth|Animal Handling|Insight|Perception|Survival,Shortsword|Longbow,Hunter's Mark*1|Zephyr Strike*1|Cure Wounds*1|Animal Friendship*1|Spike Growth*2|Beast Sence*2|Healing Spirt*2
e9da39,Human,Outlander,Barbarian,Path of the Totem Warrior,5,Mobile,55,18,16,14,16,10,12,11,,Athletics|Nature|Perception|Survival|Intimidation,Battleaxe|Handaxe|Javelin,
0319b7,Half-Elf,Custom,Fighter,Arcane Archer,5,Sharpshooter,49,17,19,16,16,10,13,12,Chaotic Neutral,Athletics|Stealth|Arcana|Medicine|Perception|Survival|Intimidation,Longbow|Whip|Dagger|Battleaxe,
cb0313,Goblin,Outlander,Druid,Circle of the Moon,5,,50,15,14,14,14,10,17,8,,Athletics|Nature|Perception|Survival,Scimitar,
fcbd82,Goblin,Criminal,Rogue,Assassin,5,,50,15,12,19,14,10,14,8,,Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Persuasion,Shortsword|Shortbow|Dagger,
fafe8c,Goblin,Outlander,Fighter,Purple Dragon Knight,5,,65,16,16,14,16,13,10,8,,Athletics|Acrobatics|Survival|Intimidation,"Crossbow, light",
4cf663,Goblin,Outlander,Paladin,Oath of Vengeance,5,,60,18,16,12,15,8,12,14,,Athletics|Religion|Medicine|Survival,Battleaxe|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Hold Person*2|Misty Step*2
6583d5,Goblin,Outlander,Cleric,War Domain,5,,55,18,13,14,16,10,16,8,,Athletics|History|Religion|Survival,"Warhammer|Crossbow, light",Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3
7b8360,Goblin,Outlander,Bard,College of Lore,5,,45,14,8,16,13,10,14,16,,Athletics|Arcana|History|Religion|Survival|Deception|Performance|Persuasion,Rapier|Dagger,
104a2d,Goblin,Outlander,Ranger,Beast Master,5,,60,16,12,19,14,10,14,8,,Athletics|Stealth|Nature|Animal Handling|Survival,Shortsword|Longbow,
c14234,Goblin,Far Traveler,Wizard,School of Evocation,5,,26,12,8,14,14,17,14,10,,Investigation|Insight|Perception,Quarterstaff,
906508,Tiefling,Hermit,Monk,Way of the Drunken Master,5,,48,14,16,16,14,18,12,18,,Athletics|Acrobatics|Religion|Medicine|Performance,The Samaritan|Dart|Unarmed Strike,
887860,Human,Faction Agent,Cleric,Arcana Domain,5,Magic Initiate,28,13,9,10,10,16,18,12,,Arcana|History|Religion|Insight|Medicine|Persuasion,"Mace|Crossbow, light",Mending*0|Guidance*0|Light*0|Detect Magic*1|Magic Missile*1|Guiding bolt*1|Find Familiar*1|Magic Weapon*2|Arcanist's Magic Aura*2|Dispel Magic*3|Magic Circle*3
8dfba8,Wood Elf,Cloistered Scholar,Cleric,Light Domain,5,,38,18,8,16,14,12,18,8,,History|Religion|Insight|Medicine|Perception,"Mace|Crossbow, light",Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3
72b41d,Human,Cloistered Scholar,Cleric,Arcana Domain,5,Resilient,38,17,8,12,14,16,18,8,,Arcana|History|Nature|Religion|Insight|Perception,"Mace|Crossbow, light",Detect Magic*1|Magic Missile*1|Magic Weapon*2|Arcanist's Magic Aura*2|Dispel Magic*3|Magic Circle*3
721f6a,Tiefling,Far Traveler,Warlock,The Fiend,5,Flames of Phlegethos,33,11,8,10,12,14,14,18,,Arcana|Insight|Perception|Intimidation,"Crossbow, light|Dagger",
82fd6d,Protector Aasimar,Outlander,Warlock,The Great Old One,5,Alert,33,11,8,10,13,12,15,19,,Athletics|Arcana|Survival|Deception,"Crossbow, light|Dagger",
d4d2cf,Triton,Sailor,Bard,College of Valor,5,,36,13,12,15,15,10,10,20,,Athletics|Perception|Deception|Intimidation|Persuasion,Rapier|Dagger,
aa0227,Mountain Dwarf,Outlander,Barbarian,Path of the Totem Warrior,5,,65,21,20,18,20,12,14,18,Chaotic Good,Athletics|Perception|Survival|Intimidation,Battleaxe|Javelin|Warhammer,
742604,Half-Elf,Outlander,Paladin,Oath of Ancients,5,,34,18,18,14,10,8,14,14,,Athletics|Nature|Insight|Medicine|Perception|Survival,Greatsword|Longbow|Longsword,Ensnaring Strike*1|Speak with Animals*1|Divine Favor*1|Thundering Smite*1|Cure Wounds*1|Bless*1|Moonbeam*2|Misty Step*2
1ee9c7,Human,Sage,Sorcerer,Draconic Bloodline,5,,32,15,9,14,13,15,11,18,,Arcana|History|Intimidation|Persuasion,Dagger|Quarterstaff (2h),Firebolt*0|Light*0|Prestidigitation*0|Ray Of Frost*0|Message*0|Thunderwave*1|Chromatic Orb*1|Shield*1|Scorching Ray*2|Misty Step*2|Fireball*3
3bee17,Human,Acolyte,Paladin,Oath of Vengeance,5,Great Weapon Master,44,16,18,12,14,8,10,14,,Athletics|Religion|Insight|Medicine|Perception,Greatsword|Battleaxe|Javelin,Bane*1|HunterÌ¢‰âÂ‰ã¢s Mark*1|Hold Person*2|Misty Step*2
6e8a46,Wood Elf,Cloistered Scholar,Cleric,Knowledge Domain,5,,38,18,8,16,14,12,18,8,,Arcana|History|Nature|Religion|Insight|Medicine|Perception,"Crossbow, light|Shortsword",Command*1|Identify*1|Augury*2|Suggestion*2|Nondetection*3|Speak with Dead*3
3057c7,Half-Orc,Sailor,Fighter,Champion,5,Orcish Fury,49,18,18,10,16,9,10,12,,Athletics|Acrobatics|Perception|Survival|Intimidation,"Battleaxe|Crossbow, light",
91ae73,Lightfoot Halfling,Charlatan,Rogue,Swashbuckler,5,,38,15,8,18,14,10,10,16,,Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Persuasion,Shortsword|Shortsword|Dagger,
05e2e8,Wood Elf,Outlander,Fighter,Arcane Archer,5,Elven Accuracy,44,16,12,18,14,10,14,8,Chaotic Neutral,Athletics|Acrobatics|Nature|Animal Handling|Perception|Survival,"Longbow|Crossbow, light",Prestidigitation*0
a5cc11,Mountain Dwarf,Soldier,Barbarian,Path of the Berserker,5,,62,17,18,12,16,10,12,11,,Athletics|Perception|Intimidation,Battleaxe|Handaxe|Javelin,
9dbecd,Mountain Dwarf,Knight,Paladin,Oath of Devotion,5,Sentinel,52,16,16,10,16,10,10,14,,Athletics|Religion|Insight|Persuasion,Halberd|Warhammer|Javelin,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2
dd7af9,Hill Dwarf,Far Traveler,Druid,Circle of the Moon,5,,45,15,8,14,16,10,18,10,,Animal Handling|Insight|Medicine|Perception,Scimitar,
329849,Air Genasi,Outlander,Ranger,Hunter,5,,45,16,10,18,16,10,14,8,,Athletics|Stealth|Investigation|Perception|Survival,Shortsword|Longbow,
a68963,Forest Gnome,Clan Crafter,Wizard,School of Divination,5,,30,12,9,14,15,18,13,8,,Arcana|History|Religion|Insight,Quarterstaff,
f2bf0d,Fire Genasi,Sage,Wizard,School of Divination,5,,34,12,8,14,15,18,10,12,CG,Arcana|History|Investigation|Religion|Persuasion,Dagger,Produce Flame*0|Toll The Dead*0|Minor Illusion*0|Mage Hand*0|Dancing Lights*0|Detect Magic*1|Disguise Self*1|Find Familiar*1|Mage Armour*1|Shield*1|Absorb Elements*1|Fog Cloud*1|Ice Knife*1|Tasha's Hideous Laughter*1|Invisibility*2|Suggestion*2|Hold Person*2|Scorching Ray*2|Counter Spell*3|Fireball*3|Fly*3
423317,Human,Outlander,Monk,Way of the Open Hand,5,Resilient,50,17,8,18,15,8,17,8,Neutral neutral,Athletics|Acrobatics|Stealth|Perception|Survival,Shortsword|Dart|Unarmed strike,
d52eee,Variant,Knight,Fighter,Eldritch Knight,5,Shield Master,44,18,15,14,14,12,9,9,,Religion|Insight|Perception|Persuasion,Longsword +1|Handaxe,Lightning Lure*0|Green Flame Blade*0|Booming Blade*0|Absorb Elements*1|Sheild*1|Find Familiar*1|Thunderwave*1
aeb5d9,Dark Elf,Acolyte,Cleric,Life Domain,5,,38,18,8,15,14,14,15,11,,Religion|Insight|Medicine|Perception|Persuasion,"Mace|Crossbow, light",Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3
9c2cb8,Protector Aasimar,Outlander,Sorcerer,Storm Sorcery,5,,28,10,8,10,13,12,15,19,,Athletics|Arcana|Insight|Survival,"Crossbow, light|Dagger|Wand Of Visage Globs","Minor Illusion 30 Feet Int Check*0|Presdigitation Up To 3 *0|Frostbite Con Save 2D6*0|Infestation 2d6 Random ‹Û_*0|Light:light Bearer*0|Shocking Grasp 2d8*0|Thunder Wave*1|Chaos Bolt 2d8,1d6 120ft*1|Ice Knife 1 D10 2d6 Dex Save*1|Magic Missles 1d4+1x3*1|Misty Step*2|Mirror Image *2|Shadow Blade Conf 2d8psy*2|Fireball Dex Save 8d6*3|Slow*3"
deee47,Goliath,Guild Artisan,Barbarian,Path of the Totem Warrior,5,Animal Handler,53,15,17,12,16,8,8,13,,Athletics|Insight|Perception|Intimidation|Persuasion,Greataxe|Handaxe|Javelin|Battleaxe|Battleaxe|Maul,
5aceb0,Dragonborn,Acolyte,Paladin,Oath of Devotion,5,,42,19,17,12,13,8,8,18,,Religion|Insight|Medicine|Persuasion,Warhammer|Javelin,Protection from Evil and Good*1|Sanctuary*1|Cure Wounds*1|Searing Smite*1|Thunder Smite*1|Wrathful Smite*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Magic Weapon *2
795b36,Wood Elf,City Watch,Monk,Way of the Open Hand,5,,43,15,13,20,16,13,10,13,,Athletics|Acrobatics|Stealth|Insight|Perception,Sickle|Dart|Unarmed Strike,
68d017,Tabaxi,Inheritor,Cleric,Light Domain,5,,23,16,8,16,9,12,16,18,,Stealth|History|Religion|Insight|Perception|Survival,Mace|Quarterstaff,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3
2eaaeb,Aarakocra,Acolyte,Paladin,Oath of Vengeance,5,,39,18,18,13,13,9,19,12,,Athletics|Religion|Insight|Persuasion,Longsword|Whip,Bane*1|Hunter‰Ûªs Mark*1|Wrathful Smite*1|Hold Person*2|Branding Smite*2
07508c,Triton,Noble,Barbarian,Path of the Ancestral Guardian,5,,50,13,20,12,14,11,10,17,,History|Nature|Animal Handling|Persuasion,Trident|Handaxe|Javelin,
1e53d2,Human,Knight,Fighter,Champion,5,,39,18,19,16,13,12,17,15,,Athletics|History|Survival|Persuasion,Greatsword|Handaxe,
1fb9b1,Dark Elf,Criminal,Rogue,Mastermind,5,,33,15,13,18,12,15,13,13,,Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation,Shortsword|Dagger|Boomerang,
c423cx83,Half-Elf,Noble,Wizard,School of Divination,5,Keen Mind,32,12,8,14,14,17,10,14,,Arcana|History|Investigation|Perception|Deception|Persuasion,Dagger,
b17825,Half-Orc,Acolyte,Paladin,Oath of Devotion,5,Great Weapon Master,39,18,18,11,13,7,9,18,,Athletics|Religion|Insight|Medicine|Intimidation,Javelin|Halberd,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2
8118d8,Mountain Dwarf,Sailor,Barbarian,Path of the Ancestral Guardian,5,Sentinel,55,16,17,13,16,8,12,10,,Athletics|Perception|Survival|Intimidation,Warhammer + 1|Handaxe|Javelin,
c38fb1,Human,Outlander,Fighter,Battle Master,5,Dungeon Delver|Alert,48,16,14,17,14,13,10,8,Neutral Good,Athletics|Acrobatics|Stealth|Survival|Intimidation,Longbow|Scimitar|Handaxe,Detect Thoughts*0|Suggestion*0
14a4dc,Dragonborn,Pirate,Paladin,Oath of Vengeance,5,,44,18,18,10,14,8,10,16,CN,Athletics|Insight|Perception|Persuasion,Warhammer|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Cure Wounds*1|Hold Person*2|Misty Step*2
d9dxb84,Dark Elf,Custom,Sorcerer,Wild Magic,5,,32,13,8,16,14,13,10,16,,Perception|Deception|Intimidation,Dagger,
ee121e,Dragonborn,Outlander,Barbarian,Path of the Zealot,5,Savage Attacker,68,17,17,15,15,8,8,9,,Athletics|Perception|Survival|Intimidation,"Javelin|Javelin|Maul|Crossbow, heavy",
d7bb21,Mountain Dwarf,Soldier,Fighter,Champion,5,,44,18,19,14,14,10,11,10,,Athletics|Perception|Survival|Intimidation,Dwarven Thrower|Dwarven Thrower,
045xcf95,Wood Elf,Urban Bounty Hunter,Rogue,Scout,5,Alert,27,16,10,17,10,10,14,14,Chaotic Neutral,Acrobatics|Sleight of Hand|Stealth|Investigation|Nature|Insight|Perception|Survival|Persuasion,Shortsword +1|Shortbow|Dagger,
68378,Human,Charlatan,Rogue,Swashbuckler,5,Skulker,28,16,10,18,10,10,12,16,,Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Performance|Persuasion,Rapier|Dagger|Shortsword|Shortsword,
f6bc6e,Tiefling,Entertainer,Cleric,Tempest Domain,5,Lucky,38,17,10,13,14,13,8,17,,Acrobatics|History|Performance|Persuasion,"Mace|Crossbow, light|Pipe",Spiked Song*0|Mending*0|Animal Friendship*1|Ensnare*1|Healing Word*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3
2f0467,Minotaur,Outlander,Fighter,Champion,5,Dual Wielder,54,17,16,14,15,12,8,8,,Athletics|Insight|Survival|Intimidation,Greataxe|Greataxe|Battleaxe|Battleaxe,
c145f0,Human,Hermit,Monk,Way of the Open Hand,5,,45,17,9,18,14,11,16,13,lawful good,Religion|Medicine,Dart|Unarmed strike|Staff Of Thunder And Lightning,
7a1af8,Mountain Dwarf,Sailor,Paladin,Oath of Ancients,5,Squat Nimbleness,54,17,18,11,15,10,11,14,NG,Athletics|Acrobatics|Insight|Perception|Persuasion,Maul|Battleaxe|Handaxe,Ensnaring Strike*1|Speak with Animals*1|Divine Favor*1|Searing Smite*1|Thunderous Smite*1|Wrathful Smite *1|Nature's Wrath (Paladin)*1|Turn The Faithless (Paladin)*1|Moonbeam*2|Misty Step*2|Aid*2|Branding Smite *2
355512,Human,Acolyte,Paladin,Oath of Vengeance,5,Great Weapon Master,60,16,16,12,14,10,10,14,,Athletics|History|Religion|Insight|Intimidation,Halberd|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Hold Person*2|Misty Step*2
786235,Human,Sailor,Cleric,Tempest Domain,5,Observant|War Caster,38,17,12,12,14,10,17,10,,Athletics|History|Religion|Medicine|Perception,"Mace|Crossbow, light",Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3
f8e24b,Tabaxi,Soldier,Ranger,Hunter,5,Magic Initiate,39,14,10,16,12,12,14,12,Neutral Good,Athletics|Stealth|Investigation|Animal Handling|Perception|Survival|Intimidation,Shortsword|Longbow|Scimitar,Prestidigitation*0|Message*0|Hunter's Mark*1|Zephyr Strike*1|Find Familiar*1|Spike Growth*2|Find Traps*2
73ebde,Lightfoot Halfling,Criminal,Rogue,Assassin,5,Alert,33,16,8,16,12,13,10,16,Neutral,Acrobatics|Sleight of Hand|Stealth|Investigation|Deception|Performance,Shortsword|Shortbow|Shortsword|Dagger|Dagger,
26410c,Firbolg,Folk Hero,Cleric,Trickery Domain,4,Inspiring Leader,42,16,16,11,18,13,18,14,,History|Animal Handling|Insight|Survival,"Mace|Crossbow, light",Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2
be2028,Dragonborn,Acolyte,Paladin,Oath of Ancients,4,,45,18,17,8,16,10,12,14,Lawful Neutral,Religion|Insight|Medicine|Intimidation,Flail|Javelin|Longsword,Ensnaring Strike*1|Speak with Animals*1
1722d8,Human,Sage,Ranger,Beast Master,4,,25,12,13,13,8,15,15,10,,Stealth|Arcana|History|Investigation|Animal Handling|Perception,Shortsword|Longbow|Dagger,Hunters Mark*1|Speak With Animals*1|Fog Cloud*1
6007c7,Lightfoot Halfling,Outlander,Ranger,Monster Slayer,4,,32,15,10,18,12,10,16,10,,Athletics|Nature|Animal Handling|Perception|Survival,Shortsword|Longbow,Protection from Evil and Good*1
3fd551,Mountain Dwarf,Hermit,Barbarian,Path of the Totem Warrior,4,,49,16,18,15,18,8,8,8,,Nature|Religion|Medicine|Survival,Maul|Light hammer,
74a32b,Rock Gnome,Knight,Paladin,Oath of Vengeance,4,,40,16,16,11,16,12,12,10,,Athletics|Religion|Insight|Persuasion,Javelin|Greatsword,Bane*1|Hunter‰Ûªs Mark*1
5cdb56,Human,Criminal,Rogue,Arcane Trickster,4,Actor,23,13,10,14,10,16,8,18,,Stealth|Arcana|Investigation|Deception|Intimidation|Performance|Persuasion,Rapier|Shortbow|Dagger,
6cb093,Half-Elf,Charlatan,Bard,College of Glamour,4,,23,14,10,16,10,10,12,19,,Sleight of Hand|Insight|Perception|Deception|Performance|Persuasion,Rapier|Dagger,
4bc2d4,Human,Urban Bounty Hunter,Monk,Way of the Kensei,4,,31,17,10,18,14,11,16,10,,Athletics|Acrobatics|Stealth|Insight,Dart|Unarmed strike|Whip,
dba8b6,Wood Elf,Far Traveler,Monk,Way of the Drunken Master,4,Mobile,27,16,10,16,12,11,16,10,,Acrobatics|Stealth|Insight|Perception|Performance,Shortsword|Dart|Unarmed strike,
24c87f,Goliath,Sailor,Barbarian,Path of the Berserker,4,,61,19,20,16,18,14,13,14,,Athletics|Nature|Perception|Intimidation,Maul|Handaxe|Javelin|Warhammer|Warhammer,
c22653,Dark Elf,Urchin,Wizard,School of Necromancy,4,,24,13,10,16,14,16,12,9,,Sleight of Hand|Stealth|Arcana|Insight|Perception,Quarterstaff,
